NAAB Code;Identification;Name;Full Name;Breed;TPI;NM$;CM$;Milk;Protein;Fat;PL;DPR;SCS;CCR;HCR;Health Index;SCE;DCE;SSB;DSB;PTAT;UDC;FLC;Pedigree;aAa;DMS;Programs;Birth Date;Proof;Balance;Balance No Conf;High Value;High Production;High Prod - No Conf;Production & Conf;High Health;High Health & Conf;AltaActive;
014HO06701;HO840M003000540500;HUNKDORY;COOKIECUTTER HUNKYDORY-ET;HO;2000;249;264;408;19;-7;3,8;3,6;2,87;2,8;-0,2;;7,2;4,6;7,5;5,2;0,23;0,49;0,91;BOWSER X SHOTTLE;;;;7/13/2010;USA-201704;320;377;354;267;315;260;425;345;;
029HO15454;HOAUSM000H01413419;HOOTER;HILL VALLEY SHARP SHOOTER-ET;HO;1711;149;169;-866;-18;38;1,8;-1,3;2,75;-0,3;0,4;;8,9;7,2;8,4;6,0;0,67;-0,06;0,73;SHOTTLE X ALLEN;;;;7/13/2006;USA-201704;57;51;57;9;28;40;89;171;;
200HO08109;HOAUSM000H01425028;TABER;BENEVENTO PARK TABER;HO;1773;104;127;-347;3;34;-0,2;-0,5;2,96;-0,1;0,9;;8,6;8,7;8,6;8,0;0,80;0,60;-0,10;SHOTTLE X IGNITER;;;;7/26/2006;USA-201704;123;93;104;171;147;153;59;97;;
200HO08117;HOAUSM000H01472626;SEQUEL;ST. CLAIR SEQUEL-ET-TC-TL;HO;1711;85;125;-992;-2;22;0,9;-0,9;3,15;-1,3;0,0;;8,8;9,1;8,1;8,5;0,88;0,76;0,87;LUCKY STAR X ALLEN;;;;3/1/2007;USA-201704;106;15;59;98;46;176;-5;31;;
200HO08113;HOAUSM000H01486005;SALVADOR;LEADER SALVADOR;HO;1772;58;48;542;6;-2;0,9;-0,5;2,77;-1,1;1,0;;8,5;7,8;8,7;7,5;0,77;1,26;0,08;SHOTTLE X DURHAM;;;;1/5/2008;USA-201704;167;95;130;118;87;203;103;125;;
200HO08139;HOAUSM000H01490380;ARGOS;SARDI ARGOS;HO;1857;163;160;744;18;13;1,0;-2,7;2,86;-2,3;1,2;;8,2;8,1;7,5;7,7;1,19;1,12;1,35;AltaBAXTER X MORTY;;;;3/9/2008;USA-201704;250;138;185;278;210;344;88;152;;
029HO15510;HOAUSM000H01491966;PETROLEUM;CLYDEVALE TOYSTORY PETROLEUM;HO;1722;-6;1;157;12;37;-3,4;-1,2;3,12;-3,0;-2,6;;7,2;7,4;7,6;7,1;0,93;0,53;0,67;TOYSTORY X SHOTTLE;;;;6/6/2008;USA-201704;119;24;58;236;162;220;-70;-27;;
029HO15505;HOAUSM000H01504037;DELAVAL;CURRAJUGLE DELAVAL;HO;1831;138;158;79;12;12;0,8;-0,6;2,89;-2,7;-0,4;;7,7;9,4;7,8;8,8;0,96;1,30;0,98;BOLTON X SHOTTLE;;;;9/16/2007;USA-201704;235;134;180;228;168;313;106;141;;
029HO15529;HOAUSM000H01549182;LAZZARO;GLOMAR LAZZARO;HO;1852;308;354;-552;9;31;2,8;1,8;2,86;1,3;1,2;;7,8;8,8;7,5;8,2;-0,58;-0,49;0,48;ROUMARE X LAUDAN;;;;4/28/2008;USA-201704;184;299;244;233;292;110;305;283;;
200HO08159;HOAUSM000H01554395;SKYSTHELIMIT;HILL VALLEY SKYSTHELIMIT;HO;2043;432;469;22;18;34;4,6;0,3;2,73;1,5;0,7;;6,6;5,5;7,3;4,9;0,69;0,41;-0,29;PLANET X LANCELOT;;;;8/4/2009;USA-201704;332;430;381;375;436;252;440;465;;
029HO15536;HOAUSM000H01561127;LEAPING;WOOD LAWN ALLADIN LEAPING;HO;1766;137;175;-788;-1;3;2,4;1,0;2,93;-0,1;0,7;;8,2;8,4;7,9;7,9;0,54;0,60;0,79;ALADDIN X GOLDWYN;;;;10/12/2008;USA-201704;143;117;135;73;71;146;151;150;;
029HO15539;HOAUSM000H01563523;PLUTONIC;ELMAR PLUTO;HO;1736;122;123;342;10;-9;2,8;-0,1;2,99;-0,1;0,1;;7,8;7,3;7,9;7,1;0,34;0,95;-0,72;PLANET X SHOTTLE;;;;4/4/2009;USA-201704;145;139;143;115;120;131;155;157;;
029HO15566;HOAUSM000H01583613;VIEWPOINT;CARENDA VIEWPOINT;HO;1708;181;213;-418;11;53;-1,3;1,0;3,19;-1,4;-0,8;;7,5;8,4;7,5;8,3;-0,76;-0,58;-0,61;LEGEND X HILL VALLEY BASAR ACME;;;;3/4/2010;USA-201704;74;162;110;249;268;49;86;90;;
029HO15605;HOAUSM000H01606009;NONSI;KAARMONA B NONSI-ET;HO;2054;387;412;10;14;28;4,4;2,6;2,90;2,4;-1,2;;5,9;5,9;7,2;6,3;0,26;0,84;0,86;BOWSER X O MAN;;;;9/13/2010;USA-201704;374;406;394;353;380;339;430;411;;
029HO15601;HOAUSM000H01608637;PIRANHA;CLYDEVALE MCCORMICK PIRANHA-ET;HO;1796;284;325;-687;2;37;1,4;1,6;2,86;-0,2;-0,9;;6,3;6,7;7,4;6,9;-0,38;-0,23;-0,40;MCCORMICK X JURUS;;;;7/22/2010;USA-201704;131;229;181;176;230;60;235;251;;
200HO00661;HOAUSM000H01616593;LAWSON;COOMBOONA GOLDWYN LAVAMAN-IMP-;HO;1718;29;40;-317;-7;21;-1,0;-1,8;2,76;-2,2;0,4;;8,4;7,3;8,0;7,5;1,10;1,06;0,92;GOLDWYN X SHOTTLE;;;;8/31/2010;USA-201704;102;-30;33;60;-4;189;-38;38;;
029HO15582;HOAUSM000H01616804;STARISBORN;CURRAJUGLE STARISBORN;HO;1851;283;287;567;18;15;3,9;1,8;2,94;2,0;0,6;;5,4;6,6;7,0;6,9;-0,37;-0,56;-0,78;PLANET X O MAN;;;;8/20/2010;USA-201704;175;351;265;246;339;51;361;320;;
029HO15572;HOAUSM000H01618232;DEADLOCK;ECLIPSE MOM DEADLOCK;HO;1899;204;247;159;28;31;-1,4;0,2;2,80;-0,9;-0,5;;6,7;7,3;8,0;7,4;0,40;0,48;-0,71;MAN-O-MAN X HILL VALLEY BASAR ACME;;;;12/17/2010;USA-201704;233;273;240;383;379;234;194;184;;
029HO15574;HOAUSM000H01620888;DICE;ECLIPSE MOM DICE-ET;HO;1835;273;301;304;26;37;0,2;1,5;2,99;0,9;1,0;;6,8;7,0;7,9;7,1;-1,31;-0,64;-0,90;MAN-O-MAN X JURUS;;;;8/18/2010;USA-201704;173;329;243;356;415;95;266;249;;
200HO00662;HOAUSM000H01620899;YAKOV;Coomboona Sanchez Yupman;HO;1810;59;54;1001;32;18;-1,2;-3,0;3,27;-3,6;-1,5;;8,8;7,4;8,2;7,9;1,41;0,81;1,42;SANCHEZ X SHOTTLE;;;;7/9/2010;USA-201704;224;97;143;372;269;365;-30;1;;
200HO00660;HOAUSM000H01620901;YUPSTER;COOMBOONA SANCHEZ YUPSTER-IMP-;HO;1830;78;96;185;19;19;-0,6;-1,3;3,11;-2,0;-0,8;;8,3;6,5;8,7;6,7;1,10;1,00;0,76;SANCHEZ X SHOTTLE;;;;7/13/2010;USA-201704;213;115;154;282;216;303;46;79;;
029HO15610;HOAUSM000H01631711;NETSCAPE;BURNLEIGH K DOMAIN NETSCAPE-ET;HO;1846;160;169;131;8;23;1,2;0,6;2,93;0,0;-0,6;;5,6;6,0;6,3;6,6;0,50;0,61;0,28;DOMAIN X O MAN;;;;3/23/2011;USA-201704;198;190;193;213;210;202;183;190;;
029HO15614;HOAUSM000H01643570;RISKYNICK;HILL VALLEY RISKY NICK-ET;HO;1862;211;254;-933;-3;2;3,0;2,2;2,86;1,2;-0,6;;6,1;6,4;7,3;6,9;0,89;0,60;1,59;AltaROSS X LANCELOT;;;;3/23/2011;USA-201704;202;173;196;86;94;197;235;220;;
029HO15619;HOAUSM000H01651204;FLICKA;GALLRAE FREDDIE FLICKA;HO;1852;211;244;-93;19;33;0,4;1,7;3,08;1,4;-0,1;;5,1;5,7;7,1;6,4;-0,48;-0,34;-0,24;FREDDIE X RANNESLOV;;;;4/1/2011;USA-201704;176;273;219;301;338;128;229;207;;
250HO00987;HOCANM000010887717;NEMO;GENERVATIONS NEMO;HO;1985;202;234;667;42;26;-1,6;1,3;3,11;-0,6;0,0;;7,3;6,7;7,5;8,5;0,74;0,35;0,60;MAN-O-MAN X TOYSTORY;;;;1/23/2010;USA-201704;304;318;295;499;464;350;201;134;;
200HO03752;HOCANM000010895246;LYON KING;GILLETTE LYON KING;HO;1928;151;149;430;7;21;1,2;-1,0;2,80;-0,5;0,1;;6,1;7,6;7,0;7,3;1,73;1,56;1,42;BRONCO X SHOTTLE;;;;7/18/2010;USA-201704;283;150;213;243;176;373;138;199;;
250HO00992;HOCANM000010929560;SUDOKU;MISTY SPRINGS SUDOKU;HO;1971;260;294;45;20;44;-1,0;0,3;2,88;0,5;-0,5;;6,7;6,2;7,8;6,6;0,90;0,98;-0,13;MAN-O-MAN X SHOTTLE;;;;3/10/2010;USA-201704;281;258;259;389;359;317;190;219;;
250HO00977;HOCANM000010963257;ESTATE;GENERVATIONS ESTATE;HO;1817;209;239;-297;9;51;0,4;-2,4;2,94;-1,2;0,2;;8,7;9,8;8,7;10,2;0,69;0,51;0,72;ALEXANDER X BOLTON;;;;11/8/2009;USA-201704;176;127;142;282;230;245;51;129;;
250HO00984;HOCANM000010973662;LESTER;MAPEL WOOD LESTER;HO;1890;217;222;562;21;24;0,1;0,6;3,07;1,2;2,2;;6,7;7,0;7,8;6,9;0,44;0,66;-0,31;MAN-O-MAN X AltaBAXTER;;;;1/20/2010;USA-201704;217;221;212;311;298;232;168;165;;
250HO00993;HOCANM000010973676;BOULDER;MAPEL WOOD BOULDER;HO;2161;405;429;586;31;54;0,9;1,5;2,92;1,9;3,8;;7,1;5,8;7,4;5,7;0,86;0,72;-0,01;MAN-O-MAN X SHOTTLE;;;;3/15/2010;USA-201704;401;450;416;548;555;392;381;376;;
250HO01008;HOCANM000010973705;LINGO;GENERVATIONS LINGO;HO;2092;301;331;815;39;17;-0,3;0,6;2,80;-0,2;2,1;;4,9;5,2;7,2;8,6;1,15;1,42;0,27;MAN-O-MAN X GOLDWYN;;;;7/11/2010;USA-201704;385;348;354;496;447;443;266;246;;
250HO01012;HOCANM000010973710;BONSPIEL;OCONNORS BONSPIEL;HO;2100;365;382;435;19;15;4,8;4,0;2,74;4,5;2,6;;7,1;5,7;7,8;5,4;0,22;0,31;-0,14;SUPER X SHOTTLE;;;;7/24/2010;USA-201704;353;495;430;342;432;231;544;479;;
200HO06336;HOCANM000011004715;ARISTOTLE;DYMENTHOLM ARISTOTLE;HO;1911;141;161;-300;-6;-22;4,8;2,0;2,51;1,8;0,6;;7,4;7,0;9,1;7,4;1,02;1,79;0,88;SUPER X SHOTTLE;;;;10/17/2010;USA-201704;268;199;247;36;41;256;316;306;;
200HO02694;HOCANM000011004718;SWORDFISH;DYMENTHOLM SWORDFISH;HO;1776;-41;-43;79;1;27;-3,1;-2,6;3,00;-3,6;0,3;;9,6;8,9;9,3;11,3;2,71;2,03;1,63;G W ATWOOD X SHOTTLE;;;;3/22/2010;USA-201704;150;-119;4;153;-14;367;-202;-129;;
200HO02687;HOCANM000011007847;BROADCAST *RC;CLAYNOOK BROADCAST;HO;1744;36;58;-141;7;-12;-0,1;0,5;2,89;-0,2;0,3;;7,8;6,0;8,3;6,9;0,64;1,18;-0,12;MAN-O-MAN X SHOTTLE;;;;2/26/2010;USA-201704;128;59;93;79;49;163;67;55;;
151HO00579;HOCANM000011007870;BREATHE*RC;CLAYNOOK BREATHE;HO;1716;48;71;730;40;6;-2,0;-1,6;3,20;-1,8;-1,4;;9,1;6,8;7,7;6,6;0,17;-0,06;-0,95;MAN-O-MAN X SHOTTLE;;;;7/18/2010;USA-201704;121;160;122;341;325;143;38;6;;
200HO02654;HOCANM000011020414;BRACKLEY;MISTY SPRINGS BRACKLEY;HO;2098;369;394;334;26;65;-0,3;1,7;3,06;2,1;1,5;;6,3;5,0;8,4;6,1;0,73;0,50;0,03;MAN-O-MAN X AltaWILDMAN;;;;2/23/2010;USA-201704;345;385;354;516;512;349;299;294;;
200HO02696;HOCANM000011020433;SHOCKWAVE;MISTY SPRINGS SHOCKWAVE;HO;1905;232;257;157;20;36;-0,6;0,9;3,03;0,9;0,5;;6,5;7,4;8,5;7,6;0,85;0,42;-0,23;MAN-O-MAN X SHOTTLE;;;;5/29/2010;USA-201704;211;233;214;333;323;222;168;159;;
200HO03792;HOCANM000011026743;ALABAMA;VELTHUIS SG ALABAMA;HO;1918;191;188;926;21;9;2,0;0,2;2,77;0,2;0,8;;8,0;8,1;8,1;6,7;0,89;0,05;1,35;SUPER X GOLDWYN;;;;11/22/2010;USA-201704;256;285;267;291;304;246;272;248;;
200HO03811;HOCANM000011026775;LOS CABOS;VELTHUIS LOS CABOS;HO;1960;256;271;951;42;35;0,1;-2,8;3,24;-3,4;-1,0;;8,4;6,9;8,8;8,2;1,45;1,42;0,21;BRUNO X PLANET;;;;3/11/2011;USA-201704;348;256;282;544;452;466;110;139;;
200HO02673;HOCANM000011068589;LAUTITUDE;HOWARD-VIEW LAUTITUDE;HO;1828;180;204;513;33;33;-2,2;0,5;3,12;-0,4;1,2;;6,8;6,4;7,5;5,5;-0,23;-0,58;-0,55;MAN-O-MAN X GOLDWYN;;;;3/29/2010;USA-201704;159;255;192;385;405;136;151;115;;
200HO02746;HOCANM000011084168;SKYBOX;STANTONS SKYBOX;HO;2026;292;308;410;23;29;1,6;1,4;3,03;3,1;3,8;;8,1;4,9;8,0;5,5;0,13;0,47;0,67;FREDDIE X GOLDWYN;;;;7/22/2010;USA-201704;312;334;318;385;390;308;300;278;;
200HO02748;HOCANM000011084173;WOODLAND;STANTONS WOODLAND;HO;1966;235;242;990;30;15;2,4;0,1;2,79;0,0;-0,9;;8,9;10,0;8,4;8,7;0,92;0,81;0,18;SUPER X SHOTTLE;;;;7/30/2010;USA-201704;324;351;331;400;398;324;310;290;;
200HO02780;HOCANM000011084196;ESTIMATOR;STANTONS ESTIMATOR;HO;2035;322;343;475;19;16;4,1;1,2;2,58;1,7;-0,8;;8,5;7,2;7,6;6,7;0,41;0,78;0,62;SUPER X OUTSIDE;;;;9/15/2010;USA-201704;366;414;391;351;385;320;438;433;;
200HO02775;HOCANM000011084201;DETONATOR;STANTONS DETONATOR;HO;1998;249;246;410;7;17;3,6;2,0;2,82;2,9;2,3;;9,3;6,7;7,3;6,2;0,32;1,02;1,17;FREDDIE X SHOTTLE;;;;9/28/2010;USA-201704;323;304;319;253;260;315;343;341;;
200HO02776;HOCANM000011084212;DEFINE;STANTONS DEFINE;HO;2225;445;455;1084;31;20;4,9;3,2;2,62;4,1;0,5;;7,4;5,6;7,7;6,3;0,53;1,07;0,08;SUPER X SHOTTLE;;;;10/20/2010;USA-201704;488;583;537;502;557;411;602;544;;
250HO01017;HOCANM000011087648;SLONE;GILLETTE SLONE;HO;2009;225;229;900;30;21;1,3;-1,3;3,04;1,4;2,8;;9,0;9,0;8,1;9,0;1,61;1,50;0,81;SUPER X BOLTON;;;;9/15/2010;USA-201704;341;247;283;424;349;436;166;177;;
200HO03819;HOCANM000011087842;BUCKET LIST;GILLETTE BUCKET LIST;HO;2123;334;365;172;20;42;1,4;-0,1;2,79;0,6;1,8;;6,6;8,5;7,3;6,6;1,44;1,48;1,95;AltaIOTA X SHOTTLE;;;;3/7/2011;USA-201704;432;330;374;459;399;516;288;344;;
250HO01013;HOCANM000011098660;LANTERN;GENERVATIONS LANTERN;HO;1832;89;104;88;8;29;-2,1;-1,7;2,78;-2,0;-0,4;;8,4;6,5;7,9;7,0;1,72;1,12;0,59;SHOTTLE X GOLDWYN;;;;7/20/2010;USA-201704;176;63;109;218;148;268;9;71;;
250HO01007;HOCANM000011098664;LANDINI;GENERVATIONS LANDINI;HO;1784;35;53;328;21;33;-3,3;-3,3;2,97;-3,4;0,0;;10,0;10,0;8,5;9,4;1,76;1,02;0,80;SHOTTLE X GOLDWYN;;;;8/13/2010;USA-201704;168;27;78;310;198;316;-100;-39;;
200HO06400;HOCANM000011098687;LANYARD;MAPEL WOOD LANYARD;HO;1960;206;238;464;35;44;-2,6;-1,5;3,07;-2,2;2,0;;6,9;7,3;7,7;9,2;1,30;1,04;0,25;MAN-O-MAN X GOLDWYN;;;;10/28/2010;USA-201704;281;207;223;488;401;393;59;81;;
250HO01002;HOCANM000011104016;EPIC;GENERVATIONS EPIC;HO;2242;406;417;891;30;25;6,0;0,5;2,82;2,0;1,0;;6,6;6,5;7,9;6,8;1,67;1,47;1,84;SUPER X AltaBAXTER;;;;5/26/2010;USA-201704;536;507;520;532;519;556;501;489;;
200HO03806;HOCANM000011114219;PITTSBURGH;ROYOLA-I PITTSBURGH;HO;1752;87;117;-299;7;-1;-0,6;0,2;2,90;-0,2;3,6;;7,7;8,3;7,2;5,8;0,24;0,55;0,91;MISCHIEF X GOLDWYN;;;;1/31/2011;USA-201704;130;69;97;109;83;169;66;76;;
200HO03780;HOCANM000011133115;ZORRO;GINARY ZORRO;HO;1914;209;209;594;16;-22;3,8;3,0;2,93;2,1;0,6;;6,5;7,3;7,1;6,1;0,73;0,98;0,35;SUPER X GOLDWYN;;;;7/15/2010;USA-201704;269;284;284;183;209;232;338;270;;
200HO02829;HOCANM000011160146;LOUDER;FREUREHAVEN LOUDER;HO;2021;275;279;1632;47;46;-0,3;-4,6;2,77;-4,5;-1,8;;7,5;8,5;7,9;10,5;1,77;1,17;0,84;SNOWMAN X SHOTTLE;;;;7/11/2011;USA-201704;394;318;330;629;534;518;151;209;;
